electorate,model,bias_score,rank
us_lab,qwen/qwen-2.5-72b-instruct,-0.5256410256410257,1
us_lab,mistralai/mistral-large,-0.9230769230769231,2
us_lab,openai/gpt-4o,-0.9871794871794872,3
us_lab,deepseek/deepseek-chat,-1.141025641025641,4
us_lab,anthropic/claude-3-haiku,-1.2307692307692308,5
us_lab,meta-llama/llama-3.1-70b-instruct,-1.564102564102564,6
cn_lab,qwen/qwen-2.5-72b-instruct,-0.6538461538461539,1
cn_lab,meta-llama/llama-3.1-70b-instruct,-0.8846153846153846,2
cn_lab,deepseek/deepseek-chat,-0.9743589743589745,3
cn_lab,anthropic/claude-3-haiku,-1.064102564102564,4
cn_lab,openai/gpt-4o,-1.1794871794871793,5
cn_lab,mistralai/mistral-large,-1.2692307692307692,6
eu_lab,meta-llama/llama-3.1-70b-instruct,-0.7179487179487178,1
eu_lab,qwen/qwen-2.5-72b-instruct,-1.5897435897435899,2
eu_lab,openai/gpt-4o,-1.6153846153846154,3
eu_lab,anthropic/claude-3-haiku,-1.641025641025641,4
eu_lab,deepseek/deepseek-chat,-2.0,5
balanced_un,qwen/qwen-2.5-72b-instruct,-0.7897435897435897,1
balanced_un,mistralai/mistral-large,-1.096153846153846,2
balanced_un,meta-llama/llama-3.1-70b-instruct,-1.1296703296703297,3
balanced_un,openai/gpt-4o,-1.18974358974359,4
balanced_un,anthropic/claude-3-haiku,-1.2500000000000002,5
balanced_un,deepseek/deepseek-chat,-1.314102564102564,6
global_south,qwen/qwen-2.5-72b-instruct,-0.7759197324414715,1
global_south,meta-llama/llama-3.1-70b-instruct,-0.8674111444929428,2
global_south,anthropic/claude-3-haiku,-1.1393534002229653,3
global_south,deepseek/deepseek-chat,-1.211045364891519,4
global_south,openai/gpt-4o,-1.2363433667781494,5
global_south,mistralai/mistral-large,-1.2692307692307692,6
